draw date,n1,n2,n3,n4,n5,pb
09/25/2020,20,36,37,48,67,16
09/29/2020,14,39,43,44,67,19
10/02/2020,9,38,47,49,68,25
10/06/2020,15,16,18,39,59,17
10/09/2020,5,11,25,27,64,13
10/13/2020,11,44,45,46,70,25
10/16/2020,27,32,50,52,57,12
10/20/2020,46,54,57,58,66,10
10/23/2020,18,34,44,60,69,22
10/27/2020,6,13,34,46,62,1
10/30/2020,14,19,34,39,59,11
11/03/2020,7,31,44,45,55,19
11/06/2020,18,24,27,34,60,2
11/10/2020,23,45,53,58,62,13
11/13/2020,6,7,14,28,59,7
11/17/2020,8,13,35,46,68,16
11/20/2020,26,33,45,61,68,17
11/24/2020,9,15,34,61,64,6
11/27/2020,4,10,27,35,58,10
12/01/2020,7,33,53,61,65,14
12/04/2020,3,19,24,44,50,8
12/08/2020,15,19,33,39,68,25
12/11/2020,19,31,37,55,67,25
12/15/2020,1,10,18,20,46,15
12/18/2020,7,15,25,51,60,5
12/22/2020,29,53,56,59,67,21
12/25/2020,17,23,36,69,70,19
12/29/2020,1,31,35,48,62,19
01/01/2021,8,24,53,68,69,7
01/05/2021,20,43,51,55,57,4
01/08/2021,3,6,16,18,58,11
01/12/2021,12,14,26,28,33,9
01/15/2021,3,11,12,38,43,15
01/19/2021,10,19,26,28,50,16
01/22/2021,4,26,42,50,60,24
01/26/2021,29,49,56,66,67,24
01/29/2021,4,44,58,59,70,3
02/02/2021,13,37,38,40,67,10
02/05/2021,14,17,28,29,44,2
02/09/2021,7,18,21,31,40,9
02/12/2021,5,14,24,25,27,14
02/16/2021,1,36,44,54,66,10
02/19/2021,27,32,47,50,53,4
02/23/2021,5,7,9,20,57,15
02/26/2021,11,15,37,62,64,5
03/02/2021,4,8,13,34,64,18
03/05/2021,10,11,17,27,54,20
03/09/2021,4,33,46,58,65,13
03/12/2021,2,24,25,31,65,18
03/16/2021,10,41,46,52,69,8
03/19/2021,9,14,40,58,69,8
03/23/2021,12,23,35,38,55,11
03/26/2021,4,25,37,46,67,15
03/30/2021,11,37,47,53,56,15
04/02/2021,10,42,48,53,62,19
04/06/2021,1,19,20,32,42,17
04/09/2021,22,26,27,58,66,12
04/13/2021,10,15,19,45,68,9
04/16/2021,17,27,28,50,55,25
04/20/2021,6,23,43,49,52,5
04/23/2021,4,28,29,30,60,25
09/22/2020,36,43,44,55,68,12
09/18/2020,26,29,41,52,64,11
09/15/2020,25,28,38,59,62,22
09/11/2020,3,15,42,48,56,13
09/08/2020,7,10,15,31,57,21
09/04/2020,19,22,24,28,53,25
09/01/2020,15,25,26,38,47,22
08/28/2020,3,9,50,53,64,1
08/25/2020,8,10,15,17,57,12
08/21/2020,11,15,31,42,63,14
08/18/2020,4,18,26,27,58,23
08/14/2020,3,24,29,42,47,13
08/11/2020,8,22,29,43,56,9
08/07/2020,4,44,53,64,70,3
08/04/2020,2,22,30,42,62,20
07/31/2020,12,35,46,48,69,23
07/28/2020,17,20,27,31,34,19
07/24/2020,8,33,39,54,58,17
07/21/2020,14,25,26,41,43,15
07/17/2020,12,13,21,46,57,21
07/14/2020,6,26,55,56,64,22
07/10/2020,10,15,20,49,53,22
07/07/2020,16,20,25,30,43,18
07/03/2020,20,40,44,45,50,24
06/30/2020,9,16,29,37,53,11
06/26/2020,19,33,37,56,57,6
06/23/2020,6,20,37,40,48,15
06/19/2020,11,34,36,52,66,7
06/16/2020,21,23,33,35,42,6
06/12/2020,9,14,57,67,70,2
06/09/2020,1,5,9,10,23,22
06/05/2020,32,35,37,47,55,22
06/02/2020,9,20,23,26,29,8
05/29/2020,10,13,32,41,51,3
05/26/2020,34,52,58,59,62,4
05/22/2020,8,10,20,44,46,18
05/19/2020,8,19,25,36,66,9
05/15/2020,11,17,32,33,46,25
05/12/2020,7,16,27,44,52,5
05/08/2020,5,20,22,61,70,4
05/05/2020,7,13,17,21,45,14
05/01/2020,28,30,31,35,66,14
04/28/2020,13,19,53,54,63,17
04/24/2020,1,27,32,60,67,18
04/21/2020,13,15,24,67,70,17
04/17/2020,13,35,39,46,55,14
04/14/2020,29,47,65,69,70,7
04/10/2020,2,11,21,57,60,13
04/07/2020,25,33,43,51,68,20
04/03/2020,24,38,44,57,58,17
03/31/2020,8,17,51,57,70,2
03/27/2020,3,25,28,50,60,1
03/24/2020,2,8,16,18,31,14
03/20/2020,34,35,41,45,54,5
03/17/2020,20,27,28,58,59,25
03/13/2020,7,22,37,43,44,22
03/10/2020,6,17,48,54,69,12
03/06/2020,15,48,56,58,70,4
03/03/2020,8,12,33,56,64,2
02/28/2020,2,3,14,41,64,17
02/25/2020,2,9,43,49,63,15
02/21/2020,4,7,13,16,60,6
02/18/2020,6,12,39,61,70,4
02/14/2020,10,32,48,54,55,18
02/11/2020,4,6,32,52,64,6
02/07/2020,9,14,27,36,52,4
02/04/2020,32,48,50,51,64,10
01/31/2020,28,31,33,57,62,19
01/28/2020,17,36,47,51,62,21
01/24/2020,3,4,18,23,38,24
01/21/2020,16,18,29,31,37,8
01/17/2020,3,25,30,54,70,9
01/14/2020,9,11,13,31,47,11
01/10/2020,17,27,49,51,66,2
01/07/2020,25,40,41,52,56,21
01/03/2020,37,41,42,53,63,16
12/31/2019,30,44,49,53,56,11
12/27/2019,17,34,40,63,64,24
12/24/2019,27,37,48,63,66,11
12/20/2019,3,20,23,35,60,16
12/17/2019,22,30,53,55,56,16
12/13/2019,17,21,29,39,56,22
12/10/2019,18,31,46,54,61,25
12/06/2019,20,31,40,46,61,20
12/03/2019,23,43,60,63,69,19
11/29/2019,6,8,31,50,65,9
11/26/2019,8,27,29,38,43,13
11/22/2019,7,12,17,49,53,24
11/19/2019,22,43,44,47,66,22
11/15/2019,12,19,34,35,68,20
11/12/2019,19,30,44,56,65,24
11/08/2019,3,4,10,39,58,14
11/05/2019,2,9,24,49,54,19
11/01/2019,9,20,36,41,54,22
10/29/2019,4,9,17,27,39,22
10/25/2019,16,24,25,52,60,6
10/22/2019,5,11,14,23,25,10
10/18/2019,18,58,60,65,67,20
10/15/2019,4,12,14,35,70,2
10/11/2019,14,22,30,37,60,8
10/08/2019,5,8,10,17,48,23
10/04/2019,11,38,44,48,70,17
10/01/2019,10,17,39,42,59,3
09/27/2019,12,20,31,43,45,20
09/24/2019,6,14,24,42,46,9
09/20/2019,23,24,42,48,53,22
09/17/2019,12,15,30,50,65,1
09/13/2019,6,16,37,59,62,5
09/10/2019,34,47,48,50,55,24
09/06/2019,4,11,13,19,31,10
09/03/2019,13,20,27,61,62,5
08/30/2019,3,9,11,34,39,10
08/27/2019,8,12,23,39,43,6
08/23/2019,11,15,37,54,68,21
08/20/2019,8,14,25,51,63,4
08/16/2019,4,14,24,26,46,14
08/13/2019,7,27,31,34,51,5
08/09/2019,15,53,56,59,63,1
08/06/2019,11,17,31,43,55,16
08/02/2019,11,20,26,48,70,19
07/30/2019,10,24,28,33,38,6
07/26/2019,4,6,11,43,48,11
07/23/2019,1,4,23,40,45,11
07/19/2019,16,18,28,33,67,14
07/16/2019,8,16,31,48,52,23
07/12/2019,8,25,38,56,59,7
07/09/2019,12,26,40,48,64,1
07/05/2019,6,38,47,57,63,12
07/02/2019,3,25,37,40,55,13
06/28/2019,2,35,49,53,63,1
06/25/2019,24,33,45,47,61,17
06/21/2019,13,30,36,48,62,18
06/18/2019,12,14,22,24,48,21
06/14/2019,19,40,47,57,65,6
06/11/2019,20,34,39,43,57,13
06/07/2019,17,19,27,40,68,2
06/04/2019,25,37,46,48,68,25
05/31/2019,7,8,26,65,67,4
05/28/2019,9,21,34,42,50,21
05/24/2019,14,41,44,56,62,10
05/21/2019,10,50,55,56,58,15
05/17/2019,5,17,28,32,63,11
05/14/2019,11,59,66,67,68,18
05/10/2019,3,16,21,61,62,19
05/07/2019,3,6,34,54,63,19
05/03/2019,8,16,22,66,68,11
04/30/2019,24,37,41,61,70,20
04/26/2019,9,17,23,30,46,10
04/23/2019,7,24,30,48,67,9
04/19/2019,18,25,43,44,57,25
04/16/2019,11,29,34,48,54,10
04/12/2019,1,24,25,40,70,4
04/09/2019,11,22,34,44,58,9
04/05/2019,8,22,24,38,64,21
04/02/2019,33,47,58,59,64,25
03/29/2019,5,14,15,62,66,3
03/26/2019,4,14,22,43,58,9
03/22/2019,7,36,58,60,62,10
03/19/2019,10,42,53,67,68,15
03/15/2019,3,29,56,62,64,4
03/12/2019,10,12,16,49,57,18
03/08/2019,4,9,42,62,68,7
03/05/2019,15,20,32,37,52,6
03/01/2019,29,33,39,60,66,21
02/26/2019,10,12,14,24,60,20
02/22/2019,18,24,31,34,55,4
02/19/2019,17,24,34,56,65,3
02/15/2019,10,38,40,43,65,12
02/12/2019,15,32,39,50,65,7
02/08/2019,14,24,31,42,48,13
02/05/2019,3,34,36,59,66,7
02/01/2019,2,37,48,66,68,11
01/29/2019,10,33,53,54,62,22
01/25/2019,8,16,30,38,61,10
01/22/2019,4,15,37,59,64,16
01/18/2019,2,43,48,62,64,24
01/15/2019,29,52,58,60,62,7
01/11/2019,4,5,31,62,69,20
01/08/2019,13,26,29,38,64,5
01/04/2019,21,29,35,54,60,15
01/01/2019,34,44,57,62,70,14
12/28/2018,9,10,25,37,38,21
12/25/2018,2,8,42,43,50,6
12/21/2018,10,13,61,62,70,5
12/18/2018,13,22,32,60,69,9
12/14/2018,5,22,26,43,49,23
12/11/2018,4,38,39,54,59,12
12/07/2018,4,10,20,33,57,13
12/04/2018,28,31,41,42,50,4
11/30/2018,25,28,40,43,63,19
11/27/2018,12,24,37,42,57,18
11/23/2018,7,10,30,33,59,23
11/20/2018,10,16,31,42,66,10
11/16/2018,33,36,63,68,69,16
11/13/2018,34,46,57,65,69,11
11/09/2018,8,14,27,57,67,5
11/06/2018,28,34,37,56,69,12
11/02/2018,3,23,28,46,62,16
10/30/2018,20,31,39,46,49,23
10/26/2018,1,28,61,62,63,5
10/23/2018,5,28,62,65,70,5
10/19/2018,15,23,53,65,70,7
10/16/2018,3,45,49,61,69,9
10/12/2018,4,24,46,61,70,7
10/09/2018,20,22,39,54,60,18
10/05/2018,27,28,32,41,69,12
10/02/2018,2,22,29,31,34,1
09/28/2018,39,45,52,56,59,15
09/25/2018,8,16,32,48,61,12
09/21/2018,1,2,11,52,64,9
09/18/2018,31,32,43,63,68,17
09/14/2018,23,30,40,43,66,13
09/11/2018,15,30,51,62,67,19
09/07/2018,8,10,41,54,68,10
09/04/2018,2,7,25,35,44,3
08/31/2018,7,18,29,32,45,17
08/28/2018,3,20,33,34,41,20
08/24/2018,1,6,13,18,49,8
08/21/2018,14,16,19,38,57,11
08/17/2018,1,31,32,47,56,3
08/14/2018,11,26,44,45,46,11
08/10/2018,1,3,12,22,42,6
08/07/2018,2,13,15,21,62,2
08/03/2018,9,28,30,54,60,2
07/31/2018,12,15,35,64,69,9
07/27/2018,1,32,40,49,63,20
07/24/2018,1,2,4,19,29,20
07/20/2018,1,14,30,44,62,1
07/17/2018,40,41,61,66,67,12
07/13/2018,21,22,39,59,68,2
07/10/2018,1,17,28,56,70,14
07/06/2018,2,10,46,50,56,16
07/03/2018,13,35,45,49,68,23
06/29/2018,2,32,47,49,68,23
06/26/2018,17,25,29,39,60,19
06/22/2018,2,6,11,27,44,20
06/19/2018,11,13,28,65,70,14
06/15/2018,1,11,37,47,51,6
06/12/2018,1,3,5,8,70,3
06/08/2018,14,30,33,44,56,13
06/05/2018,22,33,41,48,52,4
06/01/2018,5,24,52,62,66,17
05/29/2018,2,11,55,58,67,2
05/25/2018,11,14,51,64,68,25
05/22/2018,16,17,21,36,48,9
05/18/2018,9,26,53,64,66,11
05/15/2018,21,34,44,49,61,21
05/11/2018,14,38,40,53,70,22
05/08/2018,8,15,39,64,67,13
05/04/2018,4,5,10,12,18,21
05/01/2018,2,7,20,55,70,1
04/27/2018,2,29,38,63,66,11
04/24/2018,3,19,31,32,48,10
04/20/2018,1,15,18,32,45,4
04/17/2018,12,34,44,47,65,22
04/13/2018,8,9,32,42,59,10
04/10/2018,5,13,31,43,53,20
04/06/2018,16,33,51,54,67,20
04/03/2018,4,29,39,42,62,14
03/30/2018,11,28,31,46,59,1
03/27/2018,7,25,43,56,59,13
03/23/2018,4,8,23,53,59,17
03/20/2018,14,38,51,64,70,9
03/16/2018,1,13,26,33,52,11
03/13/2018,6,30,58,60,61,17
03/09/2018,7,17,18,46,66,22
03/06/2018,1,4,26,35,39,22
03/02/2018,24,28,42,60,64,8
02/27/2018,10,17,21,38,43,23
02/23/2018,7,11,13,19,58,9
02/20/2018,17,19,23,24,43,14
02/16/2018,14,38,48,53,58,16
02/13/2018,5,12,15,46,49,1
02/09/2018,28,34,41,46,47,14
02/06/2018,14,17,25,48,58,25
02/02/2018,1,4,14,17,40,4
01/30/2018,29,41,42,49,57,24
01/26/2018,10,16,27,38,43,1
01/23/2018,2,6,30,31,55,7
01/19/2018,3,17,23,49,66,23
01/16/2018,3,11,23,29,59,18
01/12/2018,17,18,33,46,60,24
01/09/2018,16,29,31,65,67,23
01/05/2018,28,30,39,59,70,10
01/02/2018,1,42,47,64,70,22
12/29/2017,4,10,18,28,62,7
12/26/2017,10,12,20,38,41,25
12/22/2017,1,20,30,33,42,16
12/19/2017,28,37,39,42,58,2
12/15/2017,4,12,36,44,57,19
12/12/2017,8,23,24,25,27,9
12/08/2017,6,37,46,60,70,24
12/05/2017,14,15,37,42,67,22
12/01/2017,16,22,40,41,59,8
11/28/2017,10,17,47,51,61,5
11/24/2017,16,36,54,61,64,22
11/21/2017,3,7,22,27,50,3
11/17/2017,3,26,55,58,70,15
11/14/2017,1,14,21,22,28,19
11/10/2017,6,23,38,42,58,24
11/07/2017,1,54,60,68,69,11
11/03/2017,10,22,42,61,69,3
10/31/2017,6,28,31,52,53,12
10/27/2017,17,27,41,51,52,13
10/24/2017,20,24,34,56,64,6
10/20/2017,6,23,63,66,73,9
10/17/2017,31,45,49,56,70,11
10/13/2017,2,7,18,26,31,12
10/10/2017,7,16,24,61,62,2
10/06/2017,21,33,36,45,56,12
10/03/2017,12,18,19,25,67,7
09/29/2017,25,51,62,73,74,7
09/26/2017,1,10,57,66,75,4
09/22/2017,5,39,54,63,66,15
09/19/2017,9,28,31,50,61,10
09/15/2017,18,24,34,38,58,3
09/12/2017,26,37,41,54,65,3
09/08/2017,4,5,14,26,73,14
09/05/2017,11,17,59,70,72,1
09/01/2017,4,13,31,50,64,12
08/29/2017,2,13,17,35,73,3
08/25/2017,17,38,42,51,65,11
08/22/2017,24,35,46,50,51,7
08/18/2017,1,31,34,40,75,6
08/15/2017,7,16,20,66,73,7
08/11/2017,23,33,53,56,58,6
08/08/2017,11,17,50,52,74,14
08/04/2017,9,17,25,63,71,4
08/01/2017,20,22,52,57,73,7
07/28/2017,4,6,31,49,52,11
07/25/2017,2,5,26,58,60,6
07/21/2017,18,31,36,50,74,10
07/18/2017,8,12,23,51,73,6
07/14/2017,11,12,24,32,73,1
07/11/2017,7,18,24,55,74,10
07/07/2017,2,9,11,28,60,10
07/04/2017,16,39,47,53,71,15
06/30/2017,10,38,51,55,64,6
06/27/2017,4,21,45,52,57,14
06/23/2017,12,20,53,66,74,11
06/20/2017,2,15,41,49,63,3
06/16/2017,18,22,26,30,44,9
06/13/2017,27,51,62,68,75,8
06/09/2017,3,16,28,33,37,9
06/06/2017,3,5,16,49,75,5
06/02/2017,7,42,57,69,72,10
05/30/2017,5,20,32,37,67,5
05/26/2017,25,26,28,37,56,5
05/23/2017,6,13,17,33,60,14
05/19/2017,1,4,5,24,30,1
05/16/2017,4,35,39,56,72,11
05/12/2017,28,34,41,42,47,13
05/09/2017,6,29,45,69,73,11
05/05/2017,4,23,33,47,53,7
05/02/2017,5,14,42,43,58,1
04/28/2017,6,13,18,20,31,13
04/25/2017,3,13,33,40,50,2
04/21/2017,1,12,13,32,34,10
04/18/2017,8,29,30,43,64,6
